cuestión,"question"
puro,"pure"
coincidir,"coincide"
rejilla,"grid"
garganta,"throat"
atrezzo,"props"
mango,"handle"
subestación eléctrica,"electrical substation"
rama,"branch"
puro,"cigar"
atrapar,"catch"
mango,"mango"
rompiente,"breaker"
resistir,"resist"
desinterés,"disinterest"
tapa de alcantarilla,"manhole cover"
cuestión,"issue"
colina,"hill"
recuperarse,"recover"
ultramar,"oversea"
lunar,"mole"
planta trepadora,"climbing plant"
jarra,"jug"
somnoliento,"sleepy"
traviesa,"mischievous"
ventas,"sales"
jerigonza,"jargon"
desarrollo,"development"
sujetapapeles,"paperclip"
volumen de negocio,"turnover"
gradualmente,"gradually"
objeción,"objection"
imparcial,"impartial"
raya lateral,"sideline"
indicar,"indicate"
deshacerse de,"get rid of"
contribuyente,"taxpayer"
impresionado,"impressed"
asa,"handle"
falsedad,"falsehood"
garganta,"gorge"
digno de recuerdo,"memorable"
anguloso,"angular"
arrugar,"wrinkle"
de nuevo,"again"
metro,"meter"
consideración,"consideration"
cima,"summit"
turbulencia,"turbulence"
misericordia,"mercy"
sobrepasar,"surpass"
bañera,"bathtub"
lunar,"beauty mark"
cámara,"chamber"
memorable,"memorable"
tecla,"key"
recompensante,"rewarding"
impregnar,"impregnate"
condensado,"condensed"
dar la razón,"agree with"
vergüenza,"shame"
asa,"handle"
estricto,"strict"
espejo retrovisor,"rearview mirror"
reverencia,"reverence"
suplicar,"plead"
acontecimientos,"events"
exuberante,"lush"
inmediato,"immediate"
cafetera,"coffee maker"
botón,"button"
propósito,"purpose"
cerrar de golpe,"slam shut"
inmediatamente,"immediately"
llamativo,"striking"
rigores,"rigors"
relaciones públicas,"public relations"
avivar,"stir up"
intereses,"interests"
raya de cabello,"hair part"
asunto,"matter"
expuesto,"exposed"
viga,"beam"
propina,"tip"
implicar,"imply"
tejer,"weave"
de hecho,"in fact"
ser tacaño,"be stingy"
avalancha,"avalanche"
asunto,"issue"
claro,"clear"
recitar,"recite"
vehemente,"vehement"
vuelo en picada,"dive"
dudoso,"doubtful"
entonación,"intonation"
interpretar algo,"interpret something"
timón trasero,"rear rudder"
degustar,"taste"
aduana,"customs"
question,"cuestión"
pure,"puro"
coincide,"coincidir"
grid,"rejilla"
throat,"garganta"
props,"atrezzo"
handle,"mango"
electrical substation,"subestación eléctrica"
branch,"rama"
cigar,"puro"
catch,"atrapar"
mango,"mango"
breaker,"rompiente"
resist,"resistir"
disinterest,"desinterés"
manhole cover,"tapa de alcantarilla"
issue,"cuestión"
hill,"colina"
recover,"recuperarse"
overseas territories,"territorios de ultramar"
mole,"lunar"
climbing plant,"planta trepadora"
jug,"jarra"
sleepy,"somnoliento"
mischievous,"traviesa"
sales,"ventas"
jargon,"jerigonza"
development,"desarrollo"
paperclip,"sujetapapeles"
turnover,"volumen de negocio"
gradually,"gradualmente"
objection,"objeción"
impartial,"imparcial"
sideline,"raya lateral"
indicate,"indicar"
get rid of,"deshacerse de"
taxpayer,"contribuyente"
impressed,"impresionado"
handle,"asa"
falsehood,"falsedad"
gorge,"garganta"
memorable,"digno de recuerdo"
angular,"anguloso"
wrinkle,"arrugar"
again,"de nuevo"
meter,"metro"
consideration,"consideración"
summit,"cima"
turbulence,"turbulencia"
mercy,"misericordia"
surpass,"sobrepasar"
bathtub,"bañera"
beauty mark,"lunar"
chamber,"cámara"
memorable,"memorable"
key,"tecla"
rewarding,"recompensante"
impregnate,"impregnar"
condensed,"condensado"
agree with,"dar la razón"
shame,"vergüenza"
handle,"asa"
strict,"estricto"
rearview mirror,"espejo retrovisor"
reverence,"reverencia"
plead,"suplicar"
events,"acontecimientos"
lush,"exuberante"
immediate,"inmediato"
coffee maker,"cafetera"
button,"botón"
purpose,"propósito"
slam shut,"cerrar de golpe"
immediately,"inmediatamente"
striking,"llamativo"
rigors,"rigores"
public relations,"relaciones públicas"
stir up,"avivar"
interests,"intereses"
hair part,"raya de cabello"
matter,"asunto"
exposed,"expuesto"
beam,"viga"
tip,"propina"
imply,"implicar"
weave,"tejer"
in fact,"de hecho"
be stingy,"ser tacaño"
avalanche,"avalancha"
issue,"asunto"
clear,"claro"
recite,"recitar"
vehement,"vehemente"
dive,"vuelo en picada"
doubtful,"dudoso"
intonation,"entonación"
interpret something,"interpretar algo"
rear rudder,"timón trasero"
taste,"degustar"
customs,"aduana"
